"","test_case","test_size","db_size","time_elapsed","R.version","platform","running"
"1","smb_sharc",2,61410304,2.93913125991821,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"2","smb_sharc",4,123209728,5.75639271736145,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"3","smb_sharc",8,248007680,11.6597816944122,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"4","smb_sharc",16,501002240,22.6817083358765,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"5","smb_sharc",32,1012514816,45.0905404090881,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"6","smb_sharc",64,2035544064,89.7072339057922,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"7","smb_sharc",128,4081599488,180.463231801987,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"8","smb_sharc",256,8173710336,363.871646404266,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
"9","smb_sharc",512,16467386368,727.932132005692,"R version 3.4.0 (2017-04-21)","x86_64-pc-linux-gnu (64-bit)","CentOS Linux 7 (Core)"
